CandidateID,Education,Experience,Skills,AptitudeScore,TechnicalScore,CommunicationScore,Suitable
77,Bachelor,10,SQL;Data Science,49,41,42,0
78,Bachelor,7,Java;ML;JavaScript,96,80,76,1
79,Bachelor,6,JavaScript;SQL,49,81,84,1
80,Bachelor,1,SQL;C++,91,84,73,0
81,Master,0,SQL;Java;ML,48,91,69,0
82,PhD,8,Data Science;CSS;ML,79,92,86,1
83,PhD,6,ML;C++;Data Science,68,56,88,1
84,Bachelor,10,AI;ML,80,55,57,0
85,Master,1,HTML;SQL;Data Science,61,60,97,0
86,PhD,1,C++,54,64,84,0
87,Bachelor,3,JavaScript,66,61,74,1
88,Master,6,SQL,93,66,64,1
89,PhD,0,JavaScript;ML;Python,100,62,59,0
90,Master,6,AI;SQL;ML,54,57,67,0
91,Master,0,CSS;JavaScript,86,50,93,0
92,Master,2,AI;Python;JavaScript,77,76,82,1
93,Bachelor,1,JavaScript;C++;ML,51,43,56,0
94,Master,5,ML,60,61,88,1
95,Master,4,HTML;Java,70,41,87,1
96,PhD,0,SQL;Java,89,81,42,0
97,Bachelor,3,Python,79,49,55,0
98,Bachelor,7,Java;SQL;ML,84,56,89,1
99,Master,2,Data Science;Java;C++,59,46,77,0
100,Bachelor,4,JavaScript;Data Science;SQL,44,77,84,1
101,PhD,3,HTML,94,83,78,1
102,Bachelor,9,CSS,74,67,82,1
103,Master,1,CSS;Python;JavaScript,92,71,46,0
104,Master,5,ML;C++;JavaScript,51,86,73,1
105,PhD,4,AI;ML;Data Science,67,92,86,1
106,PhD,4,SQL;Java,57,96,68,1
107,Bachelor,7,Data Science;JavaScript;CSS,41,71,94,1
108,Master,2,SQL;CSS,91,56,61,1
109,Master,9,HTML;AI;Python,73,100,52,1
110,Bachelor,3,JavaScript;ML;SQL,84,70,81,1
111,PhD,7,Python;Java,58,54,65,0
112,PhD,3,Data Science;CSS,70,75,73,1
113,Master,6,AI;CSS;Data Science,84,69,57,1
114,Master,4,Java,86,52,60,1
115,Bachelor,8,C++;SQL;AI,87,70,57,1
116,PhD,9,Data Science;HTML;Java,93,52,58,1
117,Bachelor,5,HTML,40,85,74,1
118,Bachelor,4,Python,75,58,84,1
119,Bachelor,10,Java;Python,76,58,70,1
120,Master,7,C++;Python,56,100,95,1
